NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
MORONA SANTIAGO,14,Palora,1404,24133.4313347302,9149.28864761385,14984.1426871163,2018,Provicional
MORONA SANTIAGO,14,Santiago,1405,61620.738005166,28271.0395949746,33349.6984101915,2018,Provicional
MORONA SANTIAGO,14,Sucúa,1406,104414.424708868,38941.9333017937,65472.4914070741,2018,Provicional
MORONA SANTIAGO,14,Huamboya,1407,27125.2775347158,10185.9731063713,16939.3044283445,2018,Provicional
MORONA SANTIAGO,14,San Juan Bosco,1408,20530.7696235017,9152.38777200138,11378.3818515003,2018,Provicional
MORONA SANTIAGO,14,Taisha,1409,39716.1400327673,11890.5012475974,27825.6387851699,2018,Provicional
MORONA SANTIAGO,14,Logroño,1410,21918.0599311416,8156.33962957395,13761.7203015676,2018,Provicional
MORONA SANTIAGO,14,Pablo VI,1411,8401.59157790824,3262.6770150233,5138.91456288494,2018,Provicional
MORONA SANTIAGO,14,Tiwintza,1412,17678.5436246021,6462.2831092934,11216.2605153087,2018,Provicional
NAPO,15,Tena,1501,371628.742113487,133946.570071416,237682.172042071,2018,Provicional
NAPO,15,Archidona,1502,85641.5514724551,28136.2317547021,57505.319717753,2018,Provicional
NAPO,15,El Chaco,1503,347457.730867015,214367.860108088,133089.870758927,2018,Provicional
NAPO,15,Quijos,1504,48589.5551251255,19944.6032111201,28644.9519140054,2018,Provicional
NAPO,15,Carlos Julio Arosemena Tola,1505,10093.5800046249,3647.51288346889,6446.067121156,2018,Provicional
PASTAZA,16,Pastaza,1601,440661.806446249,166471.153162715,274190.653283534,2018,Provicional
PASTAZA,16,Mera,1602,44693.4479977759,16593.6371549595,28099.8108428163,2018,Provicional
PASTAZA,16,Santa Clara,1603,20711.6766485276,7979.19262436335,12732.4840241642,2018,Provicional
PASTAZA,16,Arajuno,1604,23411.9002312029,7570.73160929221,15841.1686219106,2018,Provicional
PICHINCHA,17,Quito,1701,42804715.5631832,18232486.9174995,24572228.6456836,2018,Provicional
PICHINCHA,17,Cayambe,1702,578322.978291831,224746.34534754,353576.632944291,2018,Provicional
PICHINCHA,17,Mejía,1703,702755.228817982,327415.771658299,375339.457159683,2018,Provicional
PICHINCHA,17,Pedro Moncayo,1704,480400.6422704,191129.191334713,289271.450935687,2018,Provicional
PICHINCHA,17,Rumiñahui,1705,1511816.0701263,681303.161889112,830512.908237189,2018,Provicional
PICHINCHA,17,San Miguel De Los Bancos,1707,84041.6271760567,33076.7441918697,50964.882984187,2018,Provicional
PICHINCHA,17,Pedro Vicente Maldonado,1708,60969.5730795873,21260.0525882663,39709.520491321,2018,Provicional
PICHINCHA,17,Puerto Quito,1709,96613.2371215277,36571.8127178796,60041.4244036481,2018,Provicional
TUNGURAHUA,18,Ambato,1801,3951322.88073567,1699159.35027411,2252163.53046157,2018,Provicional
TUNGURAHUA,18,Baños,1802,345845.602741958,170934.722887417,174910.879854541,2018,Provicional
TUNGURAHUA,18,Cevallos,1803,50610.3097057876,21395.5565883229,29214.7531174647,2018,Provicional
TUNGURAHUA,18,Mocha,1804,22566.3587663819,9595.43474330013,12970.9240230818,2018,Provicional
TUNGURAHUA,18,Patate,1805,57036.5100512121,24327.6317623666,32708.8782888455,2018,Provicional
TUNGURAHUA,18,Quero,1806,47089.3021854586,18777.7312634642,28311.5709219944,2018,Provicional
TUNGURAHUA,18,San Pedro De Pelileo,1807,358272.625187596,161653.334670647,196619.290516948,2018,Provicional
TUNGURAHUA,18,Santiago De Píllaro,1808,192069.491156785,79230.4092320734,112839.081924712,2018,Provicional
TUNGURAHUA,18,Tisaleo,1809,46131.149449728,19825.3816504685,26305.7677992594,2018,Provicional
ZAMORA CHINCHIPE,19,Zamora,1901,203997.265634723,72430.791167099,131566.474467624,2018,Provicional
ZAMORA CHINCHIPE,19,Chinchipe,1902,24989.7786594696,7944.97266698063,17044.805992489,2018,Provicional
ZAMORA CHINCHIPE,19,Nangaritza,1903,17202.936424521,6456.99400578705,10745.9424187339,2018,Provicional
ZAMORA CHINCHIPE,19,Yacuambí,1904,16500.4692708489,5345.53393156202,11154.9353392869,2018,Provicional
ZAMORA CHINCHIPE,19,Yanzatza,1905,107619.082316826,40061.0496119389,67558.0327048866,2018,Provicional
ZAMORA CHINCHIPE,19,El Pangui,1906,41941.1370831548,15664.4491671176,26276.6879160372,2018,Provicional
ZAMORA CHINCHIPE,19,Centinela Del Cóndor,1907,24695.691557392,8883.23864984922,15812.4529075427,2018,Provicional
ZAMORA CHINCHIPE,19,Palanda,1908,25138.9570227417,10046.5593213975,15092.3977013442,2018,Provicional
